_id,image,posterImage,name,genre,desc,type,videoID,__v,rating,totalratings,upcomming
642ef0f65fe96eca959514b9,https://api.movizrate.cloud/1698930613567.jpg,https://api.movizrate.cloud/1698930681696.jpg,Baaghi 2,"Action, Crime",Ronnie is serving in the Indian army.He gets a call from his former lover Neha as she is clueless about her missing daughter.Upon reaching Goa Ronnie sees that Neha is very disturbed by the event and cops are not taking the missing case seriously. Ronnie then starts his own investigation and finds that there is no truth in Neha's story as such thing never happened. But Neha is adamant that her daughter has been kidnapped.,movie,F2lN25IayH8,0,5,1,false
642ef1d95fe96eca959515c9,https://api.movizrate.cloud/1698930694101.jpg,https://api.movizrate.cloud/1698930699023.jpg,Baaghi 3,"Action, Thriller","Ronnie and Vikram are brothers who share an unbreakable bond. Their journey begins when a certain turn in events, leads Vikram to travel. On this trip, he gets kidnapped by people. Ronnie witnesses his brother getting beaten and kidnapped, Ronnie will do whatever it takes to destroy anyone and anything that stands in the way of Vikram's safety. Ronnie goes on a rampage of destruction to see his brother safe, even if it means that he independently has to take on an entire country",movie,QzDujMzfoU,0,5,1,false
642ef5b95fe96eca959516a0,https://api.movizrate.cloud/1698930785730.jpg,https://api.movizrate.cloud/1698930788843.jpg,Malang,"Action, Crime","Advait (Aditya Roy Kapoor), a young introvert, visits Goa where he meets Sara (Disha Patani), a free-spirited girl from London who has come to India for the first time to live life unshackled, like a vagabond (Malang). Extreme opposites of each other, they both live it up together. All goes well until life turns upside down. Five years later, this incident circles back to SHO Agashe (Anil Kapoor), vigilante killer cop and Michael Rodrigues (Kunal Kemmu), a righteous cop. What is the connection between Advait, Sara, Agashe and Michael? Malang answers all these questions.\n",movie,sft5baUuzQs,0,7,1,false
642ef8175fe96eca95951737,https://api.movizrate.cloud/1698930850197.jpg,https://api.movizrate.cloud/1698930854433.jpg,Aashiqui 2,"Drama, Music","Rahul is a singer, who loses his career due to his drinking habits. He meets Arohi in a bar in Goa, where she works to earn a living. Impressed by her singing, he promises her to take her to Mumbai and make her a star, where they fall in love with each other. Aashiqui 2 is a musical love story of these lovers who goes through love and hate, fame and failure in their lives. However will they stay together accepting their success, or will they breakup due to their ego?",movie,FyXXgpPqe6w,0,7,1,false
642efb9e5fe96eca959517c2,https://api.movizrate.cloud/1680800666573.png,https://api.movizrate.cloud/1698930920161.jpg,Two and a Half Men,"Comedy, Romance","The Harper brothers Charlie and Alan are almost opposites but form a great team. They have little in common except their dislike for their mundane, maternally cold and domineering mother, Evelyn. Alan, a compulsively neat chiropractor and control-freak, is thrown out by his manipulative wife Judith who nevertheless gets him to pay for everything and do most jobs in the house. Charlie is a freelance jingle composer and irresistible Cassanova who lives in a luxurious beach-house and rarely gets up before noon. Charlie ""temporarily"" allows Alan and his son Jake, a food-obsessed, lazy kid who shuttles between his parents, to move in with them after Alan's separation/divorce. The sitcom revolves around their conflicting lifestyles, raising Jake (who has the efficient, caring dad while having a ball with his fun-loving sugar uncle who teaches him boyish things), and bantering with Evelyn and various other friends and family. Other fairly regular characters include Charlie's cleaning lady Berta and his rich, self-confessed stalker neighbor Rose who often sneaks in to spy on Charlie.The Harper brothers Charlie and Alan are almost opposites but form a great team. They have little in common except their dislike for their mundane, maternally cold and domineering mother, Evelyn. Alan, a compulsively neat chiropractor and control-freak, is thrown out by his manipulative wife Judith who nevertheless gets him to pay for everything and do most jobs in the house. Charlie is a freelance jingle composer and irresistible Cassanova who lives in a luxurious beach-house and rarely gets up before noon. Charlie ""temporarily"" allows Alan and his son Jake, a food-obsessed, lazy kid who shuttles between his parents, to move in with them after Alan's separation/divorce. The sitcom revolves around their conflicting lifestyles, raising Jake (who has the efficient, caring dad while having a ball with his fun-loving sugar uncle who teaches him boyish things), and bantering with Evelyn and various other friends and family. Other fairly regular characters include Charlie's cleaning lady Berta and his rich, self-confessed stalker neighbor Rose who often sneaks in to spy on Charlie.",tvseries,eKM2L_yBTX0,0,8,1,false
642efe445fe96eca9595181b,https://api.movizrate.cloud/1698930974441.jpg,https://api.movizrate.cloud/1698930977922.jpg,The Office,Comedy,"A mediocre paper company in the hands of Scranton, PA branch manager Michael Scott. This mockumentary follows the everyday lives of the manager and the employees he ""manages."" The crew follows the employees around 24/7 and captures their quite humorous and bizarre encounters as they will do what it takes to keep the company thriving.",tvseries,tNcDHWpselE,0,9,1,false
642f00565fe96eca95951893,https://api.movizrate.cloud/1698931033863.jpg,https://api.movizrate.cloud/1698931039605.jpg,Young Sheldon,Comedy,"It's 1989, and 9-year-old Sheldon Cooper has skipped four grades to start high school along with his less-intellectual older brother. As he struggles to be understood by his family, classmates, and neighbors, his mother arms him with the best tool she has: reminding bullies that his dad is the football coach and his brother is on the team. His twin sister doesn't share his exceptional mind, but she is brilliant at reading people and has a much clearer vision of what life has in store for the young genius. Jim Parsons, who plays the adult version of Sheldon on The Big Bang Theory (2007), narrates.",tvseries,iGKnI3Lc7C4,0,7,1,false
642fc6f65fe96eca9595206e,https://api.movizrate.cloud/1698931090167.jpg,https://api.movizrate.cloud/1698931120301.jpg,The Boys,"Action, Comedy","""The Boys"" is set in a universe in which superpowered people are recognized as heroes by the general public and owned by a powerful corporation, Vought International, which ensures that they are aggressively marketed and monetized. Outside of their heroic personas, most are arrogant and corrupt. The series primarily focuses on two groups: the titular Boys, vigilantes looking to keep the corrupted heroes under control, and the Seven, Vought International's premier superhero team. The Boys are led by Billy Butcher, who despises all superpowered people, and the Seven are led by the egotistical and unstable Homelander. As a conflict ensues between the two groups, the series also follows the new members of each team: Hugh ""Hughie"" Campbell of the Boys, who joins the vigilantes after his girlfriend is killed in a high-speed collision by the Seven's A-Train, and Annie January/Starlight of the Seven, a hopeful young heroine forced to face the truth about the heroes she admires.",tvseries,M1bhOaLV4FU,0,8,1,false
642fc8a25fe96eca959520cd,https://api.movizrate.cloud/1698931215870.jpg,https://api.movizrate.cloud/1698931268932.jpg,Dark,"Drama, Mystery","The first German production from the world's leading Internet TV Network is set in a present-day German town where the disappearance of two young children exposes the double lives and fractured relationships among four families. In 10 hour-long episodes, the story takes on a surprising twist that ties back to the same town in 1986.",tvseries,ESEUoa-mz2c,0,7,1,false
642fcacb5fe96eca95952142,https://api.movizrate.cloud/1698931331563.jpg,https://api.movizrate.cloud/1698931335376.jpg,Prison Break,"Crime, Drama","An innocent man is framed for the homicide of the Vice President's brother and scheduled to be executed at a super-max penitentiary, thus it's up to his younger brother to save him with his genius scheme: install himself in the same prison by holding up a bank and, as the final month ticks away, launch the escape plan step-by-step to break the both of them out, with his full-body tattoo acting as his guide; a tattoo which hides the layout of the prison facility and necessary clues vital to the escape.",tvseries,AL9zLctDJaU,0,8,1,false
642fcdb95fe96eca959521a0,https://api.movizrate.cloud/1698931409667.jpg,https://api.movizrate.cloud/1698931389462.jpg,Euphoria,Drama,"A look at life for a group of high school students as they grapple with issues of drugs, sex and violence. The series focuses on the relationship between two young girls trying to find their place in the world: recovering addict Rue and new-in-town Jules.",tvseries,UR4Pxgnm-GA,0,7,1,false
